name	country	birth	position	foot	height	hmv
ángel maría villar	<null>	<null>	<null>	<null>	<null>	<null>
ángel martínez	<null>	<null>	<null>	<null>	<null>	<null>
ángel mariscal	<null>	<null>	<null>	<null>	<null>	<null>
ángel labruna	<null>	<null>	<null>	<null>	<null>	<null>
ángel jara saguier	<null>	<null>	<null>	<null>	<null>	<null>
ángel guirado	<null>	<null>	<null>	<null>	<null>	<null>
ángel fernández	<null>	<null>	<null>	<null>	<null>	<null>
ángel di maría	Argentina	<null>	<null>	<null>	<null>	<null>
ángel di maría	<null>	<null>	<null>	<null>	<null>	<null>
ángel correa	<null>	<null>	<null>	<null>	<null>	<null>
ángel cabrera	<null>	<null>	<null>	<null>	<null>	<null>
ángel berni	<null>	<null>	<null>	<null>	<null>	<null>
álvaro saborío	<null>	<null>	<null>	<null>	<null>	<null>
álvaro recoba	<null>	<null>	<null>	<null>	<null>	<null>
álvaro peña	<null>	<null>	<null>	<null>	<null>	<null>
álvaro pereira	<null>	<null>	<null>	<null>	<null>	<null>
álvaro negredo	<null>	<null>	<null>	<null>	<null>	<null>
álvaro murillo	<null>	<null>	<null>	<null>	<null>	<null>
álvaro morata	<null>	<null>	<null>	<null>	<null>	<null>
álvaro grant	<null>	<null>	<null>	<null>	<null>	<null>
álvaro cascante	<null>	<null>	<null>	<null>	<null>	<null>
álex da rosa	<null>	<null>	<null>	<null>	<null>	<null>
álex baena	<null>	<null>	<null>	<null>	<null>	<null>
álex aguinaga	<null>	<null>	<null>	<null>	<null>	<null>
ákos takács	<null>	<null>	<null>	<null>	<null>	<null>
ákos buzsáky	<null>	<null>	<null>	<null>	<null>	<null>
ádám szalai	<null>	<null>	<null>	<null>	<null>	<null>
ádám nagy	<null>	<null>	<null>	<null>	<null>	<null>
ádám lang	<null>	<null>	<null>	<null>	<null>	<null>
ádám gyurcsó	<null>	<null>	<null>	<null>	<null>	<null>
zéphirin zoko	<null>	<null>	<null>	<null>	<null>	<null>
zé turbo	<null>	<null>	<null>	<null>	<null>	<null>
zé roberto	<null>	<null>	<null>	<null>	<null>	<null>
zé pedro	Portugal	1997-06-06 00:00:00	Defender	right	187	3000000
zé pedro	Portugal	2002-01-16 00:00:00	Defender	left	190	<null>
zé pedro	Portugal	1997-06-06 00:00:00	Defender	right	187	3000000
zé pedro	Portugal	2002-01-16 00:00:00	Defender	left	190	<null>
zé pedro	Portugal	1997-06-06 00:00:00	Defender	right	187	3000000
zé pedro	Portugal	2002-01-16 00:00:00	Defender	left	190	<null>
zé pedro	Portugal	1997-06-06 00:00:00	Defender	right	187	3000000
zé pedro	Portugal	2002-01-16 00:00:00	Defender	left	190	<null>
zé luís	Cape Verde	1991-01-24 00:00:00	Attack	left	184	10000000
zé luís	Cape Verde	1991-01-24 00:00:00	Attack	left	184	10000000
zé luís	Cape Verde	1991-01-24 00:00:00	Attack	left	184	10000000
zé luís	Cape Verde	1991-01-24 00:00:00	Attack	left	184	10000000
zé love	Brazil	1987-10-29 00:00:00	Attack	right	179	4000000
